Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	MAP3K15	389840	Q6ZN16	mitogen-activated protein kinase kinase kinase 15		9	0.792	0.231	2.9348e-32	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	LMNB1	4001	P20700	lamin B1		128	0.564	0.731	0.55481	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MOS	4342	P00540	MOS proto-oncogene, serine/threonine kinase	Kinase	78	0.617	0.5	0.58928	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	MSH3	4437	P20585	mutS homolog 3	Nucleic acid binding	245	0.474	0.769	7.4413e-31	0.3		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	RPL10A	4736	P62906	ribosomal protein L10a	Nucleic acid binding	8	0.861	0.192	0.85357	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NEK1	4750	Q96PY6	NIMA related kinase 1	Kinase	131	0.575	0.769	1.9084e-25	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	NPM1	4869	P06748	nucleophosmin 1	Chaperone	283	0.464	0.846	0.99816	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PCBD1	5092	P61457	pterin-4 alpha-carbinolamine dehydratase 1	Enzyme	68	0.623	0.769	0.00033216	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	POLR1D	51082	P0DPB5;P0DPB6	RNA polymerase I and III subunit D	Enzyme	84	0.603	0.692	0.36357	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	FKBP11	51303	Q9NYL4	FKBP prolyl isomerase 11		9	0.805	0.231	6.4642e-07	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TAOK3	51347	Q9H2K8	TAO kinase 3	Kinase	21	0.792	0.269	0.99975	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	TRIM33	51592	Q9UPN9	tripartite motif containing 33		63	0.626	0.577	1.0	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	NOP58	51602	Q9Y2X3	NOP58 ribonucleoprotein	Nucleic acid binding	3	0.931	0.077	0.003652	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GAR1	54433	Q9NY12	GAR1 ribonucleoprotein	Nucleic acid binding	6	0.839	0.192	0.10049	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PPP3CA	5530	Q08209	protein phosphatase 3 catalytic subunit alpha		149	0.568	0.769	0.99988	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	STRBP	55342	Q96SI9	spermatid perinuclear RNA binding protein	Nucleic acid binding	5	0.839	0.269	0.99958	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SCYL2	55681	Q6P3W7	SCY1 like pseudokinase 2	Kinase	1	1.0	0.038	0.077114	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	EIF2AK2	5610	P19525	eukaryotic translation initiation factor 2 alpha kinase 2	Kinase	142	0.538	0.769	0.017643	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	PPAN	56342	Q9NQ55	peter pan homolog		18	0.729	0.577	1.7244e-12	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	PAK5	57144	Q9P286	p21 (RAC1) activated kinase 5	Kinase	52	0.631	0.462	0.99977	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	ALDH18A1	5832	P54886	aldehyde dehydrogenase 18 family member A1	Enzyme	206	0.551	0.769	0.00081212	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RPL27A	6157	P46776	ribosomal protein L27a	Nucleic acid binding	11	0.89	0.115	0.91072	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MRPL12	6182	P52815	mitochondrial ribosomal protein L12	Nucleic acid binding	3	0.931	0.115	0.0032204	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RRM1	6240	P23921	ribonucleotide reductase catalytic subunit M1	Enzyme	111	0.552	0.692	1.0	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SATB1	6304	Q01826	SATB homeobox 1	Transcription factor	147	0.525	0.769	0.99051	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SRR	63826	Q9GZT4	serine racemase	Enzyme	58	0.617	0.692	0.0057964	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GNPNAT1	64841	Q96EK6	glucosamine-phosphate N-acetyltransferase 1		5	0.89	0.115	0.012367	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MRPS5	64969	P82675	mitochondrial ribosomal protein S5	Nucleic acid binding	6	0.839	0.077	0.00036306	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC15A2	6565	Q16348	solute carrier family 15 member 2	Transporter	13	0.805	0.308	5.4803e-20	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC19A1	6573	P41440	solute carrier family 19 member 1	Transporter	155	0.523	0.692	6.4655e-06	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SMARCC1	6599	Q92922	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Enzyme	37	0.674	0.423	1.0	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SNRPG	6637	P62308	small nuclear ribonucleoprotein polypeptide G	Nucleic acid binding	9	0.89	0.115	0.80443	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SRM	6723	P19623	spermidine synthase	Enzyme	37	0.666	0.577	0.23479	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	AURKC	6795	Q9UQB9	aurora kinase C	Kinase	24	0.736	0.308	0.077907	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	TF	7018	P02787	transferrin	Enzyme	168	0.527	0.846	4.1001e-08	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	UCK2	7371	Q9BZX2	uridine-cytidine kinase 2	Kinase	42	0.663	0.462	0.72131	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	VAV1	7409	P15498	vav guanine nucleotide exchange factor 1		103	0.556	0.769	0.99993	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	IPO4	79711	Q8TEX9	importin 4	Transporter	6	0.861	0.154	1.0269e-18	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CSRP3	8048	P50461	cysteine and glycine rich protein 3	Cellular structure	108	0.572	0.731	0.00015859	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ANP32A	8125	P39687	acidic nuclear phosphoprotein 32 family member A	Enzyme modulator	47	0.674	0.577	0.98961	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CAMK4	814	Q16566	calcium/calmodulin dependent protein kinase IV	Kinase	69	0.621	0.654	0.50957	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	CAPG	822	P40121	capping actin protein, gelsolin like	Cellular structure	111	0.548	0.731	9.357e-14	0.3		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	H2BC4	8347	P58876;P62807	H2B clustered histone 4	Nucleic acid binding	20	0.76	0.269	0.0038196	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GRWD1	83743	Q9BQ67	glutamate rich WD repeat containing 1		6	0.931	0.077	0.00039721	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	DOT1L	84444	Q8TEK3	DOT1 like histone lysine methyltransferase	Epigenetic regulator	79	0.599	0.692	1.0	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MYO18B	84700	Q8IUG5	myosin XVIIIB		63	0.628	0.615	1.0329e-31	0.3			0	1		
Adenocarcinoma of lung (disorder)	C0152013	PSKH2	85481	Q96QS6	protein serine kinase H2	Kinase	3	0.89	0.077	7.2081e-09	0.3			0	1		
Adenocarcinoma of lung (disorder)	C0152013	SLC4A4	8671	Q9Y6R1	solute carrier family 4 member 4	Transporter	58	0.644	0.692	0.99722	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TNK1	8711	Q13470	tyrosine kinase non receptor 1	Kinase	12	0.769	0.269	2.6405e-08	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	PABPC4	8761	Q13310	poly(A) binding protein cytoplasmic 4		26	0.729	0.346	0.99905	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SUCLG2	8801	Q96I99	succinate-CoA ligase GDP-forming subunit beta	Enzyme	16	0.78	0.308	5.7163e-14	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	EIF2B4	8890	Q9UI10	eukaryotic translation initiation factor 2B subunit delta		63	0.659	0.538	0.96117	0.3		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	EIF2B5	8893	Q13144	eukaryotic translation initiation factor 2B subunit epsilon		84	0.615	0.769	0.064171	0.3		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	LATS1	9113	O95835	large tumor suppressor kinase 1	Kinase	99	0.563	0.731	0.99987	0.3			0	1		
Adenocarcinoma of lung (disorder)	C0152013	SNORD22	9304		small nucleolar RNA, C/D box 22		3	0.89	0.115		0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SFXN1	94081	Q9H9B4	sideroflexin 1	Transporter	73	0.597	0.731	0.00097212	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SLC4A7	9497	Q9Y6M7	solute carrier family 4 member 7	Transporter	34	0.716	0.423	0.73616	0.3		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	AATK	9625	Q6ZMQ8	apoptosis associated tyrosine kinase	Kinase	12	0.792	0.154	0.20634	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	SLK	9748	Q9H2G2	STE20 like kinase	Kinase	32	0.729	0.385	0.37441	0.3			0	0		
Adenocarcinoma of lung (disorder)	C0152013	TIMM8A	1678	O60220	translocase of inner mitochondrial membrane 8A		200	0.51	0.846	0.65195	0.26		1.0	7	0	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CADM1	23705	Q9BY67	cell adhesion molecule 1		205	0.491	0.769	0.66216	0.25		0.833	6	0	2003.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CDH1	999	P12830	cadherin 1		508	0.401	0.808	0.14631	0.23		1.0	4	0	2006.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FOXP1	27086	Q9H334	forkhead box P1		317	0.46	0.808	0.99998	0.22		1.0	3	0	2006.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MRE11	4361	P49959	MRE11 homolog, double strand break repair nuclease		171	0.527	0.808	1.264e-12	0.21		1.0	2	0	2006.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CDKN2A	1029	P42771;Q8N726	cyclin dependent kinase inhibitor 2A		1314	0.3	0.885	0.39474	0.2		0.933	15	5	1996.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GJB2	2706	P29033	gap junction protein beta 2	Cell-cell junction	392	0.441	0.846	6.562e-16	0.2		1.0	1	0	2006.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	GPI	2821	P06744	glucose-6-phosphate isomerase	Enzyme	218	0.491	0.769	2.8385e-06	0.2		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	IGF2R	3482	P11717	insulin like growth factor 2 receptor	Receptor	166	0.518	0.731	1.0	0.2		1.0	1	0	2003.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	NFE2L2	4780	Q16236	nuclear factor, erythroid 2 like 2	Enzyme	823	0.357	0.885	0.0035719	0.2		1.0	21	5	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	H1-10	8971	Q92522	H1.10 linker histone	Nucleic acid binding	3	1.0	0.038	0.08771	0.2		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NRG1	3084	Q02297	neuregulin 1	Signaling	304	0.464	0.885	0.99665	0.18		0.9	10	1	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CDK4	1019	P11802	cyclin dependent kinase 4	Kinase	433	0.412	0.808	0.062909	0.17		1.0	8	2	2004.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CHRNA5	1138	P30532	cholinergic receptor nicotinic alpha 5 subunit	Ion channel	110	0.593	0.577	2.1488e-06	0.14		1.0	6	6	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SMAD4	4089	Q13485	SMAD family member 4	Transcription factor	575	0.401	0.808	0.99881	0.14		1.0	5	4	2015.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FBXW7	55294	Q969H0	F-box and WD repeat domain containing 7	Enzyme modulator	257	0.465	0.808	0.99949	0.14		1.0	5	2	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CHRNA3	1136	P32297	cholinergic receptor nicotinic alpha 3 subunit	Ion channel	110	0.588	0.692	1.4197e-07	0.13		1.0	4	7	2009.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	BRCA2	675	P51587	BRCA2 DNA repair associated	Nucleic acid binding	656	0.379	0.846	2.3581e-25	0.13		1.0	4	2	2007.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	U2AF1	7307	P0DN76;Q01081	U2 small nuclear RNA auxiliary factor 1	Nucleic acid binding	67	0.604	0.577	0.9899	0.13		1.0	4	1	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CDKN2B-AS1	100048912		CDKN2B antisense RNA 1		213	0.491	0.769		0.12		1.0	3	5	2016.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	DNAJB4	11080	Q9UDY4	DnaJ heat shock protein family (Hsp40) member B4		37	0.705	0.346	0.016227	0.12		1.0	3	1	2005.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	BPTF	2186	Q12830	bromodomain PHD finger transcription factor		171	0.56	0.769	1.0	0.12		1.0	5	1	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GNAS	2778	O95467;P63092;P84996;Q5JWF2	GNAS complex locus	Enzyme modulator	536	0.42	0.885	0.68076	0.12		1.0	3	2	2015.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	IDH1	3417	O75874	isocitrate dehydrogenase (NADP(+)) 1		399	0.424	0.808	2.6244e-12	0.12		1.0	3	2	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	BTNL2	56244	Q9UIR0	butyrophilin like 2	Enzyme modulator	145	0.546	0.808	8.5607e-11	0.12		1.0	3	1	2012.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	PTPN11	5781	Q06124	protein tyrosine phosphatase non-receptor type 11		702	0.385	0.923	0.99998	0.12		1.0	3	1	2015.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CHRNB4	1143	P30926	cholinergic receptor nicotinic beta 4 subunit	Ion channel	75	0.644	0.423	0.1427	0.11		1.0	3	11	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	HYKK	123688	A2RU49	hydroxylysine kinase		19	0.769	0.346	7.3257e-06	0.11		1.0	2	3	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	DNMT3A	1788	Q9Y6K1	DNA methyltransferase 3 alpha		350	0.445	0.846	7.3538e-39	0.11		1.0	2	2	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	EPHB1	2047	P54762	EPH receptor B1	Kinase	169	0.518	0.846	0.9985	0.11		1.0	2	1	2016.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DCBLD1	285761	Q8N8Z6	discoidin, CUB and LCCL domain containing 1		21	0.729	0.231	6.325e-08	0.11		1.0	3	3	2017.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HLA-A	3105	P04439	major histocompatibility complex, class I, A		672	0.37	0.846	0.0013299	0.11		1.0	2	2	2009.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IREB2	3658	P48200	iron responsive element binding protein 2	Enzyme	82	0.619	0.577	0.99991	0.11		1.0	2	4	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	IRF4	3662	Q15306	interferon regulatory factor 4	Transcription factor	203	0.491	0.769	0.85677	0.11		1.0	2	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	KRT8	3856	P05787	keratin 8		166	0.517	0.654	2.36e-08	0.11		1.0	2	1	2016.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RHOA	387	P61586	ras homolog family member A	Enzyme modulator	193	0.502	0.808	0.60405	0.11		1.0	2	1	2013.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SFTA2	389376	Q6UW10	surfactant associated 2		25	0.695	0.577	0.036441	0.11		1.0	2	1	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	NOTCH4	4855	Q99466	notch receptor 4		150	0.534	0.731	2.0544e-23	0.11		0.5	2	1	2009.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TCF19	6941	Q9Y242	transcription factor 19		33	0.674	0.692	0.00093832	0.11		1.0	2	1	2009.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ACVR1B	91	P36896	activin A receptor type 1B	Kinase	41	0.663	0.385	0.99969	0.11		1.0	2	1	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SH2B3	10019	Q9UQQ2	SH2B adaptor protein 3		212	0.527	0.692	0.00010289	0.1		1.0	1	1	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CASC11	100270680		cancer susceptibility 11		45	0.641	0.577		0.1		1.0	1	3	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	LMCD1-AS1	100288428		LMCD1 antisense RNA 1		17	0.78	0.346		0.1		1.0	1	1	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	EGFR-AS1	100507500		EGFR antisense RNA 1		20	0.722	0.192		0.1			0	7		
Adenocarcinoma of lung (disorder)	C0152013	MSH5-SAPCD1	100532732		MSH5-SAPCD1 readthrough (NMD candidate)		21	0.76	0.423		0.1		1.0	1	1	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	ACTR2	10097	P61160	actin related protein 2	Cellular structure	45	0.659	0.654	0.99896	0.1		1.0	1	1	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FOXP4-AS1	101060264		FOXP4 antisense RNA 1		19	0.736	0.154		0.1		1.0	4	2	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FRY	10129	Q5TBA9	FRY microtubule binding protein		42	0.666	0.5	1.0	0.1		1.0	1	2	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	FAM13A	10144	O94988	family with sequence similarity 13 member A		64	0.653	0.462	1.8976e-18	0.1		1.0	1	1	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00824	101927774		long intergenic non-protein coding RNA 824		24	0.695	0.346		0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TSBP1-AS1	101929163		TSBP1 and BTNL2 antisense RNA 1		63	0.638	0.692		0.1		1.0	3	3	2009.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	MPZL2	10205	O60487	myelin protein zero like 2		40	0.653	0.5	1.0755e-12	0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	HCG9	10255		HLA complex group 9		22	0.7	0.5		0.1		1.0	1	1	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	LINC01414	102724623		long intergenic non-protein coding RNA 1414		5	1.0	0.038		0.1		1.0	1	1	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	LINC01828	102800447		long intergenic non-protein coding RNA 1828		4	0.89	0.115		0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	YAP1	10413	P46937	Yes associated protein 1	Enzyme modulator	374	0.432	0.808	0.99918	0.1		1.0	13	1	2014.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	C1D	10438	Q13901	C1D nuclear receptor corepressor	Transcription factor	33	0.67	0.462	0.03411	0.1		1.0	1	1	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	CEACAM5	1048	P06731	CEA cell adhesion molecule 5		428	0.42	0.846	4.1625e-10	0.1		0.967	30	0	1994.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LINC02392	105369893		long intergenic non-protein coding RNA 2392		1	1.0	0.038		0.1		1.0	1	1	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LINC01891	105373934		long intergenic non-protein coding RNA 1891		1	1.0	0.038		0.1		1.0	1	1	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TSBP1	10665	Q5SRN2	testis expressed basic protein 1		48	0.638	0.692	1.4756e-16	0.1		1.0	1	2	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	MORF4L1	10933	Q9UBU8	mortality factor 4 like 1	Nucleic acid binding	21	0.736	0.423	0.99339	0.1		1.0	2	2	2009.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RAB31	11031	Q13636	RAB31, member RAS oncogene family		36	0.674	0.577	0.0012566	0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TRIM31	11074	Q9BZY9	tripartite motif containing 31		61	0.626	0.577	4.3248e-06	0.1		1.0	1	1	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	ADAMTS7	11173	Q9UKP4	ADAM metallopeptidase with thrombospondin type 1 motif 7	Enzyme	40	0.666	0.577	2.2517e-14	0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	BAZ1A	11177	Q9NRL2	bromodomain adjacent to zinc finger domain 1A		17	0.792	0.269	1.0	0.1		1.0	1	1	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RASSF1	11186	Q9NS23	Ras association domain family member 1	Enzyme modulator	400	0.42	0.808	4.9255e-06	0.1		1.0	11	1	2002.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	UCN3	114131	Q969E3	urocortin 3		82	0.593	0.731	0.043878	0.1		1.0	23	0	2005.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	COL4A5	1287	P29400	collagen type IV alpha 5 chain		124	0.553	0.654	1.0	0.1		1.0	15	0	2013.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MUCL3	135656	Q3MIW9	mucin like 3		32	0.691	0.731	1.2265e-05	0.1		1.0	1	1	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	VTI1A	143187	Q96AJ9	vesicle transport through interaction with t-SNAREs 1A	Transporter	37	0.674	0.154	0.00054173	0.1		1.0	1	1	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TEKT5	146279	Q96M29	tektin 5	Cellular structure	12	0.821	0.192	3.081e-20	0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	NEK10	152110	Q6ZWH5	NIMA related kinase 10	Kinase	29	0.705	0.269	7.6572e-10	0.1		1.0	1	1	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	CYP2A6	1548	P11509	cytochrome P450 family 2 subfamily A member 6		133	0.556	0.731	5.401e-09	0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	CYP21A2	1589	P08686	cytochrome P450 family 21 subfamily A member 2		166	0.525	0.769	0.00025989	0.1		1.0	1	3	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	PPP1R18	170954	Q6NYC8	protein phosphatase 1 regulatory subunit 18		9	0.78	0.346	0.00050298	0.1		1.0	1	1	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	EGF	1950	P01133	epidermal growth factor		774	0.357	0.923	8.5294e-17	0.1		1.0	26	0	1991.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MPZL3	196264	Q6UWV2	myelin protein zero like 3		9	0.821	0.154	2.2417e-14	0.1		1.0	1	1	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FAM227B	196951	Q96M60	family with sequence similarity 227 member B		14	0.792	0.154	4.3472e-23	0.1		1.0	1	2	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	EPHB2	2048	P29323	EPH receptor B2	Kinase	649	0.374	0.846	0.99997	0.1		1.0	13	1	2010.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ERBB3	2065	P21860	erb-b2 receptor tyrosine kinase 3	Kinase	318	0.448	0.808	1.7003e-15	0.1		1.0	10	0	2005.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ESR1	2099	P03372	estrogen receptor 1	Nuclear receptor	1101	0.324	0.962	0.9992	0.1		1.0	18	2	2006.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	EZH2	2146	Q15910	enhancer of zeste 2 polycomb repressive complex 2 subunit	Epigenetic regulator	653	0.376	0.885	1.0	0.1		1.0	17	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ERICH6B	220081	Q5W0A0	glutamate rich 6B		1	1.0	0.038	1.0046e-14	0.1		1.0	1	1	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	FGF7	2252	P21781	fibroblast growth factor 7	Signaling	167	0.519	0.846	0.77089	0.1		1.0	1	1	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RALY	22913	Q9UKM9	RALY heterogeneous nuclear ribonucleoprotein		46	0.656	0.385	0.13796	0.1		1.0	1	1	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ABCF1	23	Q8NE71	ATP binding cassette subfamily F member 1	Enzyme	31	0.674	0.538	1.2823e-09	0.1		1.0	1	1	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	FOXM1	2305	Q08050	forkhead box M1		323	0.441	0.769	0.0007414	0.1		1.0	10	0	2012.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	SMUG1	23583	Q53HV7	single-strand-selective monofunctional uracil-DNA glycosylase 1		1034	0.322	0.923	0.00045154	0.1		1.0	17	0	2017.0	2020.0
